,Chief Executive Officer,1969-01-29,S,M,2009-01-14,Chief Executive Officer M
1,Vice President of Engineering,1971-08-01,S,F,2008-01-31,Vice President of Engineering F
2,Engineering Manager,1974-11-12,M,M,2007-11-11,Engineering Manager M
3,Senior Tool Designer,1974-12-23,S,M,2007-12-05,Senior Tool Designer M
3,Design Engineer,1952-09-27,M,F,2008-01-06,Design Engineer F
3,Design Engineer,1959-03-11,M,M,2008-01-24,Design Engineer M
3,Research and Development Manager,1987-02-24,M,M,2009-02-08,Research and Development Manager M
4,Research and Development Engineer,1986-06-05,S,F,2008-12-29,Research and Development Engineer F
4,Research and Development Engineer,1979-01-21,M,F,2009-01-16,Research and Development Engineer F
4,Research and Development Manager,1984-11-30,M,M,2009-05-03,Research and Development Manager M
3,Senior Tool Designer,1978-01-17,S,M,2010-12-05,Senior Tool Designer M
4,Tool Designer,1959-07-29,M,M,2007-12-11,Tool Designer M
4,Tool Designer,1989-05-28,M,F,2010-12-23,Tool Designer F
3,Design Engineer,1961-05-02,M,F,2011-01-18,Design Engineer F
1,Marketing Manager,1975-03-19,S,M,2007-12-20,Marketing Manager M
2,Marketing Assistant,1987-05-03,S,M,2007-01-26,Marketing Assistant M
2,Marketing Specialist,1978-03-06,S,M,2011-02-07,Marketing Specialist M
2,Marketing Assistant,1978-01-29,S,F,2011-02-14,Marketing Assistant F
2,Marketing Assistant,1975-03-17,M,F,2011-01-07,Marketing Assistant F
2,Marketing Specialist,1986-02-04,M,M,2009-03-02,Marketing Specialist M
2,Marketing Specialist,1987-05-21,S,M,2008-12-12,Marketing Specialist M
2,Marketing Specialist,1962-09-13,M,F,2009-01-12,Marketing Specialist F
2,Marketing Specialist,1979-06-18,M,F,2009-01-18,Marketing Specialist F
1,Vice President of Production,1983-01-07,S,M,2009-02-03,Vice President of Production M
2,Production Control Manager,1982-11-03,M,M,2008-12-01,Production Control Manager M
3,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,Production Supervisor - WC60 F
4,Production Technician - WC60,1988-03-13,M,M,2006-06-30,Production Technician - WC60 M
4,Production Technician - WC60,1979-09-25,S,M,2009-01-23,Production Technician - WC60 M
4,Production Technician - WC60,1989-09-28,M,F,2009-01-29,Production Technician - WC60 F
4,Production Technician - WC60,1986-05-20,M,F,2009-01-04,Production Technician - WC60 F
4,Production Technician - WC60,1977-07-10,M,F,2008-12-29,Production Technician - WC60 F
4,Production Technician - WC60,1976-12-26,M,M,2008-12-17,Production Technician - WC60 M
4,Production Technician - WC60,1987-06-10,M,F,2009-02-16,Production Technician - WC60 F
4,Production Technician - WC60,1977-01-10,M,M,2009-02-08,Production Technician - WC60 M
4,Production Technician - WC60,1984-07-31,M,M,2009-02-10,Production Technician - WC60 M
4,Production Technician - WC60,1986-08-07,S,M,2009-03-07,Production Technician - WC60 M
4,Production Technician - WC60,1966-12-14,M,F,2010-01-16,Production Technician - WC60 F
4,Production Technician - WC60,1971-09-11,S,M,2010-02-05,Production Technician - WC60 M
3,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,Production Supervisor - WC60 F
4,Production Technician - WC60,1973-08-27,S,M,2009-01-21,Production Technician - WC60 M
